personRank,movieTitle,director,person,IMDBRating,year,seen
1,All About Eve,Joseph L. Mankiewicz,Kasi Lemmons,8.2,1950,
2,All That Jazz,Bob Fosse,Kasi Lemmons,7.9,1979,
3,Black Orpheus,Marcel Camus,Kasi Lemmons,7.5,1959,
4,Don't Look Now,Nicolas Roeg,Kasi Lemmons,7.3,1973,
5,Do the Right Thing,Spike Lee,Kasi Lemmons,7.9,1989,
6,Fish Tank,Andrea Arnold,Kasi Lemmons,7.3,2009,
7,The Graduate,Mike Nichols,Kasi Lemmons,8,1967,Yes
8,Harold and Maude,Hal Ashby,Kasi Lemmons,7.9,1971,
9,Rosemary's Baby,Roman Polanski,Kasi Lemmons,8,1968,Yes
10,Z,Costa-Gavras,Kasi Lemmons,8.3,1969,
1,Ugetsu,Kenji Mizoguchi,Jack Reynor,8.3,1953,
2,Kwaidan,Masaki Kobayashi,Jack Reynor,8,1964,
3,Empire of Passion,Nagisa Oshima,Jack Reynor,7,1978,
4,Peeping Tom,Michael Powell,Jack Reynor,7.7,1960,
5,"Dr. Strangelove, or: How I Learned to Stop Worrying and Love the Bomb",Stanley Kubrick,Jack Reynor,8.4,1964,Yes
6,Cul-de-sac,Roman Polanski,Jack Reynor,7.1,1966,
7,Hour of the Wolf,Ingmar Bergman,Jack Reynor,7.7,1968,
8,Women in Love,Ken Russell,Jack Reynor,7.3,1969,
9,Stalker,Andrei Tarkovsky,Jack Reynor,8.2,1979,
10,The Vanishing,George Sluizer,Jack Reynor,7.7,1988,
1,RoboCop,Paul Verhoeven,Carlos Reygadas,7.5,1987,
2,The Discreet Charm of the Bourgeoisie,Luis Buñuel,Carlos Reygadas,7.9,1972,
3,Mon oncle,Jacques Tati,Carlos Reygadas,7.8,1958,
4,Gertrud,Carl Th. Dreyer,Carlos Reygadas,7.4,1964,
5,À nos amours,Maurice Pialat,Carlos Reygadas,7.3,1983,
6,Army of Shadows,Jean-Pierre Melville,Carlos Reygadas,8.2,1969,
6,Le silence de la mer,Jean-Pierre Melville,Carlos Reygadas,7.6,1949,
7,The Fire Within,Louis Malle,Carlos Reygadas,8,1963,
8,Five Easy Pieces,Bob Rafelson,Carlos Reygadas,7.5,1970,
9,Blow Out,Brian De Palma,Carlos Reygadas,7.4,1981,
10,La vie de Jésus,Bruno Dumont,Carlos Reygadas,7,1997,
10,L'humanité,Bruno Dumont,Carlos Reygadas,6.9,1999,
1,Chronicle of a Summer,Jean Rouch and Edgar Morin,Dennis Lim,7.6,1961,
1,Close-up,Abbas Kiarostami,Dennis Lim,8.3,1990,
2,Love Streams,John Cassavetes,Dennis Lim,7.8,1984,
2,Punch-Drunk Love,Paul Thomas Anderson,Dennis Lim,7.3,2002,
3,A Hollis Frampton Odyssey,Hollis Frampton,Dennis Lim,?,?,
3,News from Home,Chantal Akerman,Dennis Lim,7.5,1977,
4,The Exterminating Angel,Luis Buñuel,Dennis Lim,8.1,1962,
4,La Ciénaga,Lucrecia Martel,Dennis Lim,7.1,2001,
5,Death by Hanging,Nagisa Oshima,Dennis Lim,7.5,1968,
5,Ali: Fear Eats the Soul,Rainer Werner Fassbinder,Dennis Lim,8.1,1974,
6,Late Spring,Yasujiro Ozu,Dennis Lim,8.3,1949,
6,Colossal Youth,Pedro Costa,Dennis Lim,7,2006,
7,Bigger Than Life,Nicholas Ray,Dennis Lim,7.6,1956,
7,Blue Velvet,David Lynch,Dennis Lim,7.8,1986,
8,Red Desert,Michelangelo Antonioni,Dennis Lim,7.6,1964,
8,Safe,Todd Haynes,Dennis Lim,7.2,1995,
9,Symbiopsychotaxiplasm,William Greaves,Dennis Lim,7.3,1968,
9,Schizopolis,Steven Soderbergh,Dennis Lim,6.9,1996,
10,Wanda,Barbara Loden,Dennis Lim,7.1,1970,
10,Vagabond,Agnès Varda,Dennis Lim,7.7,1985,
1,Letter Never Sent,Mikhail Kalatozov,Jeremy Workman,7.9,1960,
2,Lola Montès,Max Ophuls,Jeremy Workman,7.3,1955,
3,The Thin Blue Line,Errol Morris,Jeremy Workman,7.5,1995,
4,Blast of Silence,Allen Baron,Jeremy Workman,7.6,1961,
5,The Battle of Algiers,Gillo Pontecorvo,Jeremy Workman,8.1,1966,
6,The Night of the Hunter,Charles Laughton,Jeremy Workman,8,1955,
7,Revanche,Götz Spielmann,Jeremy Workman,7.5,2008,
8,Green for Danger,Sidney Gilliat,Jeremy Workman,7.5,1946,
9,Macbeth,Roman Polanski,Jeremy Workman,7.4,1971,
10,Koyaanisqatsi,Godfrey Reggio,Jeremy Workman,8.3,1982,Yes
1,Repo Man,Alex Cox,Brian Raftery,6.9,1984,
2,The Asphalt Jungle,John Huston,Brian Raftery,7.9,1950,
3,All That Jazz,Bob Fosse,Brian Raftery,7.9,1979,
3,Head,Bob Rafelson,Brian Raftery,6.6,1968,
4,The Third Man,Carol Reed,Brian Raftery,8.1,1949,
5,Smithereens,Susan Seidelman,Brian Raftery,6.8,1982,
6,Do the Right Thing,Spike Lee,Brian Raftery,7.9,1989,
7,The American Friend,Wim Wenders,Brian Raftery,7.4,1977,
8,Election,Alexander Payne,Brian Raftery,7.2,1999,
8,Being John Malkovich,Spike Jonze,Brian Raftery,7.7,1999,
9,Hoop Dreams,Steve James,Brian Raftery,8.3,1994,
10,Mikey and Nicky,Elaine May,Brian Raftery,7.4,1976,
1,Smithereens,Susan Seidelman,Beak>,6.8,1982,
2,Stalker,Andrei Tarkovsky,Beak>,8.2,1979,
3,Videodrome,David Cronenberg,Beak>,7.3,1983,
4,Fanny and Alexander: Theatrical Version,Ingmar Bergman,Beak>,8.1,1982,
5,A Taste of Honey,Tony Richardson,Beak>,7.5,1961,
6,Don't Look Now,Nicolas Roeg,Beak>,7.3,1973,
7,Time Bandits,Terry Gilliam,Beak>,7,1981,
8,Watership Down,Martin Rosen,Beak>,7.6,1978,
9,12 Angry Men,Sidney Lumet,Beak>,8.9,1957,
10,The Long Good Friday,John Mackenzie,Beak>,7.6,1980,
1,A Woman Under the Influence,John Cassavetes,Michael Imperioli,8.2,1974,
2,Opening Night,John Cassavetes,Michael Imperioli,8,1977,
3,The Killing of a Chinese Bookie,John Cassavetes,Michael Imperioli,7.4,1976,
4,The In-Laws,Arthur Hiller,Michael Imperioli,5.7,2003,
5,Fox and His Friends,Rainer Werner Fassbinder,Michael Imperioli,7.7,1975,
6,Mamma Roma,Pier Paolo Pasolini,Michael Imperioli,7.8,1962,
7,Do the Right Thing,Spike Lee,Michael Imperioli,7.9,1989,
8,Midnight Cowboy,John Schlesinger,Michael Imperioli,7.8,1969,
9,Brazil,Terry Gilliam,Michael Imperioli,7.9,1985,
10,Rififi,Jules Dassin,Michael Imperioli,8.2,1955,
1,Blood for Dracula,Paul Morrissey,Lev Kalman,6.2,1974,
2,Female Trouble,John Waters,Lev Kalman,7.3,1974,
3,The Killing of a Chinese Bookie,John Cassavetes,Lev Kalman,7.4,1976,
4,Island of Lost Souls,Erle C. Kenton,Lev Kalman,7.4,1932,
5,Unfaithfully Yours,Preston Sturges,Lev Kalman,7.6,1948,
6,Science Is Fiction: 23 Films by Jean Painlevé,Jean Painlevé,Lev Kalman,8,2007,
7,The American Friend,Wim Wenders,Lev Kalman,7.4,1977,
8,Twin Peaks: Fire Walk with Me,David Lynch,Lev Kalman,7.3,1992,
9,Barcelona,Whit Stillman,Lev Kalman,7,1994,
10,Suzanne's Career,Eric Rohmer,Lev Kalman,7.1,1963,
1,Contempt,Jean-Luc Godard,Christophe Honoré,7.6,1963,
2,The Magnificent Ambersons,Orson Welles,Christophe Honoré,7.7,1942,
3,Chungking Express,Wong Kar-wai,Christophe Honoré,8.1,1994,
4,Lola,Jacques Demy,Christophe Honoré,7.6,1961,
5,Jules and Jim,François Truffaut,Christophe Honoré,7.8,1962,
6,"Salò, or The 120 Days of Sodom",Pier Paolo Pasolini,Christophe Honoré,5.9,1975,
7,The Awful Truth,Leo McCarey,Christophe Honoré,7.7,1937,
8,My Own Private Idaho,Gus Van Sant,Christophe Honoré,7.1,1991,
9,Mystery Train,Jim Jarmusch,Christophe Honoré,7.6,1989,
10,Yi Yi,Edward Yang,Christophe Honoré,8.1,2000,
1,A Woman Under the Influence,John Cassavetes,Ra√∫l Castillo,8.2,1974,
2,Y tu mamá también,Alfonso Cuarón,Ra√∫l Castillo,7.6,2001,
3,Weekend,Andrew Haigh,Ra√∫l Castillo,7.6,2011,
4,Drunken Angel,Akira Kurosawa,Ra√∫l Castillo,7.7,1948,
5,Ratcatcher,Lynne Ramsay,Ra√∫l Castillo,7.5,1999,
6,Do the Right Thing,Spike Lee,Ra√∫l Castillo,7.9,1989,
7,In the Mood for Love,Wong Kar-wai,Ra√∫l Castillo,8.1,2000,
8,Night of the Living Dead,George A. Romero,Ra√∫l Castillo,7.9,1968,
9,My Own Private Idaho,Gus Van Sant,Ra√∫l Castillo,7.1,1991,
10,The Discreet Charm of the Bourgeoisie,Luis Buñuel,Ra√∫l Castillo,7.9,1972,
1,A Woman Under the Influence,John Cassavetes,Karyn Kusama,8.2,1974,
1,"Jeanne Dielman, 23, quai du Commerce, 1080 Bruxelles",Chantal Akerman,Karyn Kusama,7.8,1975,
2,Rosemary's Baby,Roman Polanski,Karyn Kusama,8,1968,Yes
2,The Innocents,Jack Clayton,Karyn Kusama,7.8,1961,Yes
3,Fanny and Alexander: Television Version,Ingmar Bergman,Karyn Kusama,9.1,1983,
3,Safe,Todd Haynes,Karyn Kusama,7.2,1995,
4,High and Low,Akira Kurosawa,Karyn Kusama,8.5,1963,
4,Blow Out,Brian De Palma,Karyn Kusama,7.4,1981,
5,Nashville,Robert Altman,Karyn Kusama,7.7,1975,
5,All That Jazz,Bob Fosse,Karyn Kusama,7.9,1979,
6,Broadcast News,James L. Brooks,Karyn Kusama,7.2,1987,
6,Something Wild,Jonathan Demme,Karyn Kusama,6.9,1986,
7,Barry Lyndon,Stanley Kubrick,Karyn Kusama,8.1,1975,
7,Female Trouble,John Waters,Karyn Kusama,7.3,1974,
8,Bad Timing,Nicolas Roeg,Karyn Kusama,7,1980,
8,Naked,Mike Leigh,Karyn Kusama,7.8,1993,
9,Yi Yi,Edward Yang,Karyn Kusama,8.1,2000,
9,Intentions of Murder,Shohei Imamura,Karyn Kusama,7.8,1964,
10,The King of Marvin Gardens,Bob Rafelson,Karyn Kusama,6.5,1972,
10,An Angel at My Table,Jane Campion,Karyn Kusama,7.5,1990,
1,A Hard Day's Night,Richard Lester,Paweł Pawlikowski,7.6,1964,
2,Some Like It Hot,Billy Wilder,Paweł Pawlikowski,8.2,1959,
3,Ashes and Diamonds,Andrzej Wajda,Paweł Pawlikowski,7.8,1958,
4,Badlands,Terrence Malick,Paweł Pawlikowski,7.8,1973,
4,Days of Heaven,Terrence Malick,Paweł Pawlikowski,7.9,1978,
5,Loves of a Blonde,Miloš Forman,Paweł Pawlikowski,7.6,1965,
6,Vivre sa vie,Jean-Luc Godard,Paweł Pawlikowski,8,1962,
6,Pierrot le fou,Jean-Luc Godard,Paweł Pawlikowski,7.6,1965,
7,À nos amours,Maurice Pialat,Paweł Pawlikowski,7.3,1983,
8,Ivan's Childhood,Andrei Tarkovsky,Paweł Pawlikowski,8.1,1962,
9,La dolce vita,Federico Fellini,Paweł Pawlikowski,8,1960,
9,8½,Federico Fellini,Paweł Pawlikowski,8,1963,
10,Amarcord,Federico Fellini,Paweł Pawlikowski,7.9,1973,
10,Mulholland Dr.,David Lynch,Paweł Pawlikowski,7.9,2001,Yes
1,Smithereens,Susan Seidelman,‚ÄãJon Dieringer,6.8,1982,
2,Canoa: A Shameful Memory,Felipe Cazals,‚ÄãJon Dieringer,7.9,1976,
3,Repo Man,Alex Cox,‚ÄãJon Dieringer,6.9,1984,
4,Eating Raoul,Paul Bartel,‚ÄãJon Dieringer,6.8,1982,
5,Eraserhead,David Lynch,‚ÄãJon Dieringer,7.4,1977,
6,The Night of the Hunter,Charles Laughton,‚ÄãJon Dieringer,8,1955,
7,El Sur,Víctor Erice,‚ÄãJon Dieringer,7.9,1983,
8,Lone Wolf and Cub,Kenji Misumi,‚ÄãJon Dieringer,7.8,1972,
9,The Ascent,Larisa Shepitko,‚ÄãJon Dieringer,8.3,1977,
10,Eight Hours Don't Make a Day,Rainer Werner Fassbinder,‚ÄãJon Dieringer,8.4,1972,
1,The Exterminating Angel,Luis Buñuel,Alice Rohrwacher,8.1,1962,
1,Viridiana,Luis Buñuel,Alice Rohrwacher,8.2,1961,
2,Stromboli,Roberto Rossellini,Alice Rohrwacher,7.3,1950,
3,Breathless,Jean-Luc Godard,Alice Rohrwacher,8.3,1959,
4,Arabian Nights,Pier Paolo Pasolini,Alice Rohrwacher,6.8,1974,
5,Le Havre,Aki Kaurismäki,Alice Rohrwacher,7.2,2011,
6,Vagabond,Agnès Varda,Alice Rohrwacher,7.7,1985,
7,A Woman Under the Influence,John Cassavetes,Alice Rohrwacher,8.2,1974,
8,La Ciénaga,Lucrecia Martel,Alice Rohrwacher,7.1,2001,
9,The Tree of Wooden Clogs,Ermanno Olmi,Alice Rohrwacher,7.9,1978,
10,An Angel at My Table,Jane Campion,Alice Rohrwacher,7.5,1990,
1,"Salò, or The 120 Days of Sodom",Pier Paolo Pasolini,Ali Abbasi,5.9,1975,
2,Great Expectations,David Lean,Ali Abbasi,7.8,1946,
3,Andrei Rublev,Andrei Tarkovsky,Ali Abbasi,8.2,1966,
4,Hiroshima mon amour,Alain Resnais,Ali Abbasi,7.9,1959,
5,La strada,Federico Fellini,Ali Abbasi,8,1954,
6,Naked Lunch,David Cronenberg,Ali Abbasi,7.1,1991,
7,Viridiana,Luis Buñuel,Ali Abbasi,8.2,1961,
7,Belle de jour,Luis Buñuel,Ali Abbasi,7.7,1967,
8,Close-up,Abbas Kiarostami,Ali Abbasi,8.3,1990,
9,Mulholland Dr.,David Lynch,Ali Abbasi,7.9,2001,Yes
10,The Color of Pomegranates,Sergei Parajanov,Ali Abbasi,7.7,1969,
1,Good Morning,Yasujiro Ozu,Steven Yeun,7.9,1959,
1,Tokyo Story,Yasujiro Ozu,Steven Yeun,8.2,1953,
2,Still Walking,Hirokazu Kore-eda,Steven Yeun,8,2008,
3,Secret Sunshine,Lee Chang-dong,Steven Yeun,7.5,2007,
4,Chungking Express,Wong Kar-wai,Steven Yeun,8.1,1994,
5,Fantastic Mr. Fox,Wes Anderson,Steven Yeun,7.8,2009,
6,The Princess Bride,Rob Reiner,Steven Yeun,8.1,1987,
7,Punch-Drunk Love,Paul Thomas Anderson,Steven Yeun,7.3,2002,
8,Mulholland Dr.,David Lynch,Steven Yeun,7.9,2001,Yes
8,Being John Malkovich,Spike Jonze,Steven Yeun,7.7,1999,
9,RoboCop,Paul Verhoeven,Steven Yeun,7.5,1987,
10,Hoop Dreams,Steve James,Steven Yeun,8.3,1994,
1,Wings of Desire,Wim Wenders,John Grant,8,1987,
2,Rosemary's Baby,Roman Polanski,John Grant,8,1968,Yes
3,Scanners,David Cronenberg,John Grant,6.8,1981,
4,Ali: Fear Eats the Soul,Rainer Werner Fassbinder,John Grant,8.1,1974,
5,This Is Spinal Tap,Rob Reiner,John Grant,7.9,1984,
6,Harold and Maude,Hal Ashby,John Grant,7.9,1971,
7,Cronos,Guillermo del Toro,John Grant,6.7,1993,
8,Tootsie,Sydney Pollack,John Grant,7.4,1982,
9,Carnival of Souls,Herk Harvey,John Grant,7.1,1962,
10,Europa,Lars von Trier,John Grant,7.6,1991,
1,Mulholland Dr.,David Lynch,Hari Nef,7.9,2001,Yes
2,Tiny Furniture,Lena Dunham,Hari Nef,6.2,2010,
3,Clouds of Sils Maria,Olivier Assayas,Hari Nef,6.7,2014,
4,Fish Tank,Andrea Arnold,Hari Nef,7.3,2009,
5,Claire's Knee,Eric Rohmer,Hari Nef,7.7,1970,
6,Safe,Todd Haynes,Hari Nef,7.2,1995,
7,Twin Peaks: Fire Walk with Me,David Lynch,Hari Nef,7.3,1992,
8,The Bitter Tears of Petra von Kant,Rainer Werner Fassbinder,Hari Nef,7.7,1972,
9,House,Nobuhiko Obayashi,Hari Nef,7.4,1977,
10,"Salò, or The 120 Days of Sodom",Pier Paolo Pasolini,Hari Nef,5.9,1975,
1,Ratcatcher,Lynne Ramsay,Jeremiah Zagar,7.5,1999,
2,Kes,Ken Loach,Jeremiah Zagar,7.9,1969,
3,Pan's Labyrinth,Guillermo del Toro,Jeremiah Zagar,8.2,2006,
4,The Tin Drum,Volker Schlöndorff,Jeremiah Zagar,7.5,1979,
5,Mona Lisa,Neil Jordan,Jeremiah Zagar,7.3,1986,
6,Time Bandits,Terry Gilliam,Jeremiah Zagar,7,1981,
7,Crumb,Terry Zwigoff,Jeremiah Zagar,8,1994,
8,The Cranes Are Flying,Mikhail Kalatozov,Jeremiah Zagar,8.3,1957,
9,Hopscotch,Ronald Neame,Jeremiah Zagar,7.1,1980,
10,Y tu mamá también,Alfonso Cuarón,Jeremiah Zagar,7.6,2001,
1,Wild Strawberries,Ingmar Bergman,Alan Rudolph,8.2,1957,
2,La dolce vita,Federico Fellini,Alan Rudolph,8,1960,
3,"Dr. Strangelove, or: How I Learned to Stop Worrying and Love the Bomb",Stanley Kubrick,Alan Rudolph,8.4,1964,Yes
4,Children of Paradise,Marcel Carné,Alan Rudolph,8.4,1945,
5,The Discreet Charm of the Bourgeoisie,Luis Buñuel,Alan Rudolph,7.9,1972,
6,Rashomon,Akira Kurosawa,Alan Rudolph,8.2,1950,
7,Monsieur Hulot's Holiday,Jacques Tati,Alan Rudolph,7.5,1953,
8,McCabe & Mrs. Miller,Robert Altman,Alan Rudolph,7.7,1971,
9,Day for Night,François Truffaut,Alan Rudolph,8,1973,
10,The Spirit of the Beehive,Víctor Erice,Alan Rudolph,7.9,1973,
1,The Passion of Joan of Arc,Carl Th. Dreyer,David and Nathan Zellner,8.1,1928,
1,Time Bandits,Terry Gilliam,David and Nathan Zellner,7,1981,
2,Watership Down,Martin Rosen,David and Nathan Zellner,7.6,1978,
2,Fishing with John,John Lurie,David and Nathan Zellner,8.1,1991,
3,RoboCop,Paul Verhoeven,David and Nathan Zellner,7.5,1987,
3,Throne of Blood,Akira Kurosawa,David and Nathan Zellner,8.1,1957,
4,Onibaba,Kaneto Shindo,David and Nathan Zellner,8,1964,
4,Two-Lane Blacktop,Monte Hellman,David and Nathan Zellner,7.2,1971,
5,"Jeanne Dielman, 23, quai du Commerce, 1080 Bruxelles",Chantal Akerman,David and Nathan Zellner,7.8,1975,
5,"Drive, He Said",Jack Nicholson,David and Nathan Zellner,5.8,1971,
6,Life Is Sweet,Mike Leigh,David and Nathan Zellner,7.5,1990,
6,Shock Corridor,Samuel Fuller,David and Nathan Zellner,7.4,1963,
7,Pather Panchali,Satyajit Ray,David and Nathan Zellner,8.6,1955,
7,Nashville,Robert Altman,David and Nathan Zellner,7.7,1975,
8,Burden of Dreams,Les Blank,David and Nathan Zellner,7.9,1982,
8,All That Jazz,Bob Fosse,David and Nathan Zellner,7.9,1979,
9,"Salò, or The 120 Days of Sodom",Pier Paolo Pasolini,David and Nathan Zellner,5.9,1975,
9,The Black Stallion,Carroll Ballard,David and Nathan Zellner,7.3,1979,
